Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
1,Precious Achiuwa,C-PF,24,TOT,50,1093,14.8,.543,.221,.209,13.3,19.6,16.4,8.7,1.4,3.2,12.5,16.6,,0.9,1.4,2.3,.100,,-1.3,0.0,-1.4,0.2,achiupr01
1,Precious Achiuwa,C,24,TOR,25,437,15.0,.512,.276,.247,12.4,22.1,17.1,14.2,1.8,2.4,13.3,21.3,,0.0,0.5,0.5,.056,,-1.5,-0.1,-1.5,0.1,achiupr01
1,Precious Achiuwa,PF,24,NYK,25,656,14.6,.575,.166,.172,13.9,17.9,15.9,5.0,1.1,3.7,11.7,13.4,,0.9,0.9,1.8,.130,,-1.2,0.0,-1.2,0.1,achiupr01
2,Bam Adebayo,C,26,MIA,46,1592,19.8,.570,.016,.413,7.3,27.5,17.2,19.7,1.5,2.8,12.0,25.8,,1.7,2.7,4.5,.135,,0.6,1.6,2.2,1.7,adebaba01
3,Ochai Agbaji,SG,23,TOT,56,1076,8.0,.531,.571,.084,4.0,9.6,6.8,6.1,1.3,2.5,12.6,12.6,,0.0,0.6,0.5,.023,,-2.8,-0.4,-3.1,-0.3,agbajoc01
3,Ochai Agbaji,SG,23,UTA,51,1003,8.0,.531,.570,.080,3.9,9.8,6.9,6.0,1.3,2.5,11.7,12.0,,0.1,0.5,0.6,.027,,-2.7,-0.3,-3.0,-0.3,agbajoc01
3,Ochai Agbaji,SG,23,TOR,5,73,7.8,.531,.577,.115,5.9,6.2,6.0,7.4,2.0,2.4,20.4,20.1,,-0.1,0.1,-0.1,-0.042,,-4.0,-0.8,-4.9,-0.1,agbajoc01
4,Santi Aldama,PF,23,MEM,45,1115,12.8,.529,.535,.151,4.9,20.3,12.3,13.6,1.3,2.6,9.9,18.8,,0.0,1.4,1.5,.063,,-0.8,0.5,-0.3,0.5,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,57,1304,9.9,.562,.652,.112,2.1,7.4,4.9,14.7,1.8,2.0,13.4,13.9,,0.6,2.1,2.7,.101,,-1.7,1.8,0.1,0.7,alexani01
6,Grayson Allen,SG,28,PHO,52,1723,13.7,.692,.623,.237,2.5,10.7,6.8,12.7,1.2,1.7,12.4,14.0,,3.3,1.4,4.7,.131,,1.0,-0.1,0.9,1.3,allengr01
7,Jarrett Allen,C,25,CLE,51,1580,21.8,.669,.010,.372,12.4,25.2,19.0,13.1,1.2,3.3,12.8,19.1,,4.2,3.0,7.2,.219,,1.8,1.4,3.2,2.1,allenja01
8,Jose Alvarado,PG,25,NOP,39,654,13.4,.534,.578,.169,2.7,11.6,7.2,15.6,3.2,2.1,10.2,18.6,,0.3,1.0,1.3,.096,,-1.3,1.8,0.5,0.4,alvarjo01
9,Kyle Anderson,PF,30,MIN,57,1261,12.5,.528,.116,.342,4.3,13.4,9.2,24.7,1.8,2.1,17.4,14.2,,1.0,2.3,3.3,.124,,-1.4,2.7,1.3,1.0,anderky01
10,Giannis Antetokounmpo,PF,29,MIL,56,1965,29.6,.653,.093,.596,8.1,26.4,17.5,31.4,1.8,2.5,13.0,32.9,,7.1,2.8,10.0,.243,,6.4,2.2,8.7,5.3,antetgi01
11,Thanasis Antetokounmpo,PF,31,MIL,24,110,5.2,.545,.045,.000,5.1,3.9,4.5,13.6,1.3,3.0,31.3,12.4,,-0.1,0.1,0.0,-0.008,,-6.9,-0.4,-7.4,-0.1,antetth01
12,Cole Anthony,PG,23,ORL,57,1311,14.5,.549,.339,.330,4.2,15.9,10.0,20.7,1.7,1.8,13.8,23.7,,0.7,1.8,2.5,.091,,-0.8,0.6,-0.3,0.6,anthoco01
13,OG Anunoby,SF,26,TOT,41,1400,13.5,.609,.475,.176,3.0,10.6,6.8,9.3,1.9,1.8,10.7,17.6,,1.3,1.3,2.6,.088,,-0.6,0.5,-0.1,0.7,anunoog01
13,OG Anunoby,SF,26,TOR,27,900,12.6,.598,.508,.143,2.9,10.2,6.5,11.2,1.5,1.3,11.2,18.2,,0.6,0.6,1.1,.060,,-0.9,-0.6,-1.5,0.1,anunoog01
13,OG Anunoby,SF,26,NYK,14,500,15.2,.630,.408,.242,3.3,11.2,7.3,6.0,2.5,2.8,9.9,16.5,,0.7,0.7,1.4,.139,,0.1,2.3,2.4,0.6,anunoog01
14,Ryan Arcidiacono,PG,29,NYK,20,45,-1.9,.000,1.000,.000,0.0,19.9,9.9,10.3,2.2,0.0,25.0,7.6,,-0.1,0.1,-0.1,-0.089,,-11.7,1.9,-9.8,-0.1,arcidry01
15,Deni Avdija,SF,23,WAS,55,1548,14.8,.605,.289,.328,3.7,21.3,12.3,18.5,1.3,1.3,15.2,19.7,,1.2,1.0,2.2,.068,,-0.7,-0.1,-0.8,0.5,avdijde01
16,Deandre Ayton,C,25,POR,39,1245,17.2,.585,.000,.112,10.0,28.5,18.7,9.0,1.6,2.2,12.3,18.6,,1.1,1.5,2.5,.098,,-0.6,-0.1,-0.7,0.4,aytonde01
17,Udoka Azubuike,C,24,PHO,14,107,13.6,.652,.000,.500,12.4,21.1,17.0,3.8,0.5,4.9,13.0,12.4,,0.1,0.1,0.3,.120,,-2.5,0.0,-2.5,0.0,azubuud01
