Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Precious Achiuwa,C-PF,24,TOT,50,11,1093,169,339,.499,20,75,.267,149,264,.564,.528,44,71,.620,132,191,323,68,31,38,53,93,402,achiupr01
1,Precious Achiuwa,C,24,TOR,25,0,437,78,170,.459,13,47,.277,65,123,.528,.497,24,42,.571,50,86,136,44,16,12,29,40,193,achiupr01
1,Precious Achiuwa,PF,24,NYK,25,11,656,91,169,.538,7,28,.250,84,141,.596,.559,20,29,.690,82,105,187,24,15,26,24,53,209,achiupr01
2,Bam Adebayo,C,26,MIA,46,46,1592,355,693,.512,1,11,.091,354,682,.519,.513,223,286,.780,104,382,486,189,49,46,112,113,934,adebaba01
3,Ochai Agbaji,SG,23,TOT,56,10,1076,117,275,.425,52,157,.331,65,118,.551,.520,17,23,.739,39,95,134,51,30,31,41,73,303,agbajoc01
3,Ochai Agbaji,SG,23,UTA,51,10,1003,106,249,.426,47,142,.331,59,107,.551,.520,15,20,.750,35,91,126,47,27,29,34,66,274,agbajoc01
3,Ochai Agbaji,SG,23,TOR,5,0,73,11,26,.423,5,15,.333,6,11,.545,.519,2,3,.667,4,4,8,4,3,2,7,7,29,agbajoc01
4,Santi Aldama,PF,23,MEM,45,19,1115,176,411,.428,75,220,.341,101,191,.529,.519,37,62,.597,51,199,250,98,29,31,48,66,464,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,57,16,1304,144,339,.425,83,221,.376,61,118,.517,.547,29,38,.763,23,90,113,143,47,29,55,107,400,alexani01
6,Grayson Allen,SG,28,PHO,52,52,1723,225,443,.508,134,276,.486,91,167,.545,.659,93,105,.886,35,171,206,164,44,34,69,113,677,allengr01
7,Jarrett Allen,C,25,CLE,51,51,1580,335,521,.643,0,5,.000,335,516,.649,.643,141,194,.727,173,367,540,139,39,58,89,114,811,allenja01
8,Jose Alvarado,PG,25,NOP,39,0,654,98,237,.414,49,137,.358,49,100,.490,.517,27,40,.675,16,69,85,76,43,14,29,57,272,alvarjo01
9,Kyle Anderson,PF,30,MIN,57,3,1261,139,292,.476,7,34,.206,132,258,.512,.488,70,100,.700,45,158,203,232,46,30,71,85,355,anderky01
10,Giannis Antetokounmpo,PF,29,MIL,56,56,1965,645,1047,.616,26,97,.268,619,950,.652,.628,409,624,.655,141,490,631,360,74,59,197,165,1725,antetgi01
11,Thanasis Antetokounmpo,PF,31,MIL,24,0,110,12,22,.545,0,1,.000,12,21,.571,.545,0,0,,5,4,9,12,3,4,10,20,24,antetth01
12,Cole Anthony,PG,23,ORL,57,0,1311,236,542,.435,61,184,.332,175,358,.489,.492,149,179,.832,48,178,226,180,46,26,99,141,682,anthoco01
13,OG Anunoby,SF,26,TOT,41,41,1400,238,478,.498,86,227,.379,152,251,.606,.588,65,84,.774,39,132,171,93,53,28,62,96,627,anunoog01
13,OG Anunoby,SF,26,TOR,27,27,900,157,321,.489,61,163,.374,96,158,.608,.584,33,46,.717,24,82,106,72,28,13,43,62,408,anunoog01
13,OG Anunoby,SF,26,NYK,14,14,500,81,157,.516,25,64,.391,56,93,.602,.596,32,38,.842,15,50,65,21,25,15,19,34,219,anunoog01
14,Ryan Arcidiacono,PG,29,NYK,20,0,45,0,6,.000,0,6,.000,0,0,,.000,0,0,,0,8,8,4,2,0,2,5,0,arcidry01
15,Deni Avdija,SF,23,WAS,55,55,1548,277,540,.513,63,156,.404,214,384,.557,.571,131,177,.740,56,302,358,206,44,24,111,138,748,avdijde01
